store_id,has_any_constraint,has_day_constraint,excluded_days_str,exclude_holidays,has_time_constraint,time_constraint,has_fleet_constraint,max_tonnage,delivery_remark,specific_constraint
C072,False,False,,False,False,,False,,,
C073,False,False,,False,False,,False,,,
C074,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C075,False,False,,False,False,,False,,,
C076,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C077,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C078,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C079,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C080,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C081,False,False,,False,False,,False,,,
C082,False,False,,False,False,,False,,,
C083,False,False,,False,False,,False,,,
C084,False,False,,False,False,,False,,,
C085,False,False,,False,False,,False,,,
C086,False,False,,False,False,,False,,,
C087,False,False,,False,False,,False,,,
C088,False,False,,False,False,,False,,,
C089,False,False,,False,False,,False,,,
C090,False,False,,False,False,,False,,,
C091,False,False,,False,False,,False,,,
C092,False,False,,False,False,,False,,,
C093,False,False,,False,False,,False,,,
C094,False,False,,False,False,,False,,,
C095,False,False,,False,False,,False,,,
C096,False,False,,False,False,,False,,,
C097,False,False,,False,False,,False,,,
C098,False,False,,False,False,,False,,,
C099,False,False,,False,False,,False,,,
C100,False,False,,False,False,,False,,,
C101,False,False,,False,False,,False,,,
C102,False,False,,False,False,,False,,,
C103,False,False,,False,False,,False,,,
D002,False,False,,False,False,,False,,,
D004,True,True,"Saturday,Sunday",False,False,,False,,No receiving on weekends,
DA01,False,False,,False,False,,False,,,
DA03,False,False,,False,False,,False,,,
DB01,True,True,"Saturday,Sunday",True,False,,False,,"Receiving area space limited(too small), loading stock at selling floor, not situable receiving stock on weekend",
DB02,False,False,,False,False,,False,,,
DB07,False,False,,False,False,,False,,Loading at the parking area,
DB08,False,False,,False,False,,False,,,
DB09,False,False,,False,False,,False,,,
DB11,True,True,"Saturday,Sunday",True,False,,False,,"Not suitable receive stock on weekend, loading bay at Main Entrance",
DD03,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
DJ08,False,False,,False,False,,False,,,
DJ11,False,False,,False,False,,False,,,
DJ13,False,False,,False,False,,False,,,
DJ15,False,False,,False,False,,False,,,
DJ16,False,False,,False,False,,False,,,
DP02,False,False,,False,False,,False,,,
DQ01,False,False,,False,False,,False,,,
DQ03,False,False,,False,False,,False,,,
DT01,False,False,,False,False,,False,,,
DW03,False,False,,False,False,,False,,,
EA01,False,False,,False,False,,False,,,
EA02,False,False,,False,False,,False,,,
EA04,False,False,,False,False,,False,,,
EA05,False,False,,False,False,,False,,,
EA06,True,False,,False,True,No unloading at store: Wednesday - before 1:00pm,False,,EVERY WEDNESDAY HAVE PASAR PAGI FROM 7am to 1pm,
EA07,False,False,,False,False,,False,,,
EA08,False,False,,False,False,,False,,,
EA09,False,False,,False,False,,False,,,
EA10,False,False,,False,False,,False,,,
EA11,False,False,,False,False,,False,,,
EA12,False,False,,False,False,,False,,,
EA13,False,False,,False,False,,False,,,
EB01,True,True,"Saturday,Sunday",False,False,,False,,No delivery on weekend,
EB02,True,True,"Saturday,Sunday",False,False,,False,,No delivery on weekend,
EB03,True,False,,False,False,,True,1.0,Lorry 1 ton only,
EB04,False,False,,False,False,,False,,,
EB05,False,False,,False,False,,False,,,
EB06,False,False,,False,False,,False,,,
EB07,True,False,,False,True,No unloading at store: Monday - after 4:00pm,False,,MONDAY ADA PASANG MALAM,
EB08,False,False,,False,False,,False,,,
EB09,False,False,,False,False,,False,,,
EB10,False,False,,False,False,,False,,,
EB11,False,False,,False,False,,False,,,
EB12,False,False,,False,False,,False,,,
EB13,False,False,,False,False,,False,,,
EB14,False,False,,False,False,,False,,,
EC01,False,False,,False,False,,False,,,
EC02,False,False,,True,False,,False,,No receiving on PH,
EC03,False,False,,False,False,,False,,,
EC04,False,False,,False,False,,False,,,
EC05,False,False,,False,False,,False,,,
EC06,False,False,,False,False,,False,,,
EC07,False,False,,False,False,,False,,,
ED01,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
EJ01,False,False,,False,False,,False,,,
EJ02,False,False,,False,False,,False,,,
EJ03,False,False,,False,False,,False,,,
EJ05,False,False,,False,False,,False,,,
EJ06,False,False,,False,False,,False,,,
EJ07,False,False,,False,False,,False,,,
EJ08,False,False,,False,False,,False,,,
EJ09,False,False,,False,False,,False,,,
EJ10,False,False,,False,False,,False,,,
EJ11,False,False,,False,False,,False,,,
EJ12,False,False,,False,False,,False,,,
EJ13,False,False,,False,False,,False,,,
EJ14,False,False,,False,False,,False,,,
EK01,True,False,,False,True,"No unloading at store: Friday - after 10:00am, Saturday - after 10:00am",False,,Friday and Saturday suggest transportation to arrived early to avoid loading bay congestion.,
EK02,True,True,"Saturday,Sunday",True,False,,False,,No receiving on Saturday & PH,
EK03,False,False,,True,False,,False,,No receiving on PH,
EK04,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
EK05,False,False,,False,False,,False,,,
EK07,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
EK08,False,False,,False,False,,False,,,
EK09,False,False,,False,False,,False,,,
EK10,False,False,,False,False,,False,,,
EK11,False,False,,False,False,,False,,,
EK12,False,False,,False,False,,False,,,
EK13,False,False,,False,False,,False,,,
EM01,False,False,,False,False,,False,,,
EM04,False,False,,False,False,,False,,Loading at main entrance,
EM05,False,False,,False,False,,False,,,
EM06,False,False,,False,False,,False,,,
EM07,False,False,,False,False,,False,,,
EM08,False,False,,False,False,,False,,,
EM09,False,False,,False,False,,False,,,
EN01,False,False,,False,False,,False,,Loading at ground floor (loading bay mall),
EN02,False,False,,False,False,,False,,Loading at ground floor (Loading Bay Mall),
EN03,False,False,,False,False,,False,,Loading at store main entrance.,
EN05,False,False,,False,False,,False,,,
EN06,False,False,,False,False,,False,,,
EN07,False,False,,False,False,,False,,,
EN08,False,False,,False,False,,False,,,
EN09,False,False,,False,False,,False,,,
EN10,False,False,,False,False,,False,,,
EP01,False,False,,False,False,,False,,,
EP02,False,False,,False,False,,False,,,
EP03,False,False,,False,False,,False,,,
EP04,False,False,,False,False,,False,,,
EP05,False,False,,False,False,,False,,,
EP06,False,False,,False,False,,False,,,
EP07,False,False,,False,False,,False,,,
ER01,False,False,,False,False,,False,,,
ER02,False,False,,False,False,,False,,,
ET01,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
ET02,False,False,,False,False,,False,,,
ET03,False,False,,False,False,,False,,,
EW01,False,False,,False,False,,False,,,
EW02,False,False,,False,False,,False,,,
EW03,True,False,,False,False,,True,1.0,Lorry 1 ton only,
EW04,True,False,,False,False,,True,5.0,Lorry 5 ton Below only,
EW05,True,False,,False,False,,True,5.0,Lorry 5 ton Below only,
EW06,False,False,,False,False,,False,,,
EW07,False,False,,False,False,,False,,,
P001,False,False,,False,False,,False,,,
P002,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P003,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P005,False,False,,False,False,,False,,,
P007,True,True,Sunday,True,False,,False,,Bazaar Ramadhan everyday from 2.30pm till night. No receiving on Sunday & PH,
P010,False,False,,False,False,,False,,,
P011,False,False,,False,False,,False,,,
P012,True,True,"Saturday,Sunday",True,False,,False,,No receiving on weekends & PH,
P014,False,False,,False,False,,False,,,
P015,True,True,"Saturday,Sunday",True,False,,False,,No receiving on Saturday & PH,
P016,False,False,,True,False,,False,,No receiving on PH,
P017,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P018,False,False,,False,False,,False,,,
P020,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P021,False,False,,False,False,,False,,,
P022,False,False,,False,False,,False,,,
P025,False,False,,False,False,,False,,,
P026,False,False,,False,False,,False,,,
P027,False,False,,False,False,,False,,,
P029,False,False,,False,False,,False,,Wednesday suggest transportation to arrived early to avoid congestion. (Pasar Malam every Wednesday),
P031,False,False,,False,False,,False,,,
P032,False,False,,False,False,,False,,,
P033,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P034,False,False,,False,False,,False,,,
P037,False,False,,False,False,,False,,,
P040,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P041,False,False,,False,False,,False,,Mall not allow,
P042,False,False,,False,False,,False,,Mall not allow,
P043,False,False,,False,False,,False,,Mall not allow,
P044,True,True,"Saturday,Sunday",True,False,,False,,"1 hour before the lorry arrives must to inform store cause store need fill in form permit for loading stock, weekend & PH not allowed receive stock",
P045,False,False,,False,False,,False,,Mall not allow,
P046,False,False,,False,False,,False,,,
P047,False,False,,False,False,,False,,,
P049,True,True,"Saturday,Sunday",True,False,,False,,No receiving on weekends & PH,
P050,False,False,,True,False,,False,,No receiving on PH,
P051,False,False,,False,False,,False,,,
P052,True,True,"Saturday,Sunday",True,False,,False,,No receiving on weekends & PH,
P054,False,False,,False,False,,False,,,
P055,False,False,,False,False,,False,,,
P056,False,False,,True,False,,False,,No receiving on PH,
P061,True,True,"Saturday,Sunday",True,False,,False,,No receiving in weekends & PH,
P064,False,False,,False,False,,False,,,
P065,False,False,,True,False,,False,,No receiving on PH,
P068,False,False,,True,False,,False,,No receiving on PH,
P069,False,False,,False,False,,False,,,
P070,True,True,Sunday,False,False,,False,,No receiving on Sunday,
P071,False,False,,False,False,,False,,,
P073,True,True,Sunday,False,False,,False,,No receiving on Sunday,
P074,False,False,,False,False,,False,,,
P077,False,False,,False,False,,False,,,
P082,False,False,,False,False,,False,,,
P083,True,True,"Saturday,Sunday",True,False,,False,,No receiving in weekends & PH,
P086,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P088,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P091,False,False,,False,False,,False,,Mall not allow,
P092,True,True,Sunday,False,False,,False,,No receiving on Sunday,
P093,True,True,Sunday,False,False,,False,,No receiving on Sunday,
P094,False,False,,False,False,,False,,,
P095,True,True,"Saturday,Sunday",True,False,,False,,No receiving in weekends & PH,
P096,False,False,,False,False,,False,,,
P097,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P098,True,True,Sunday,False,False,,False,,No receiving on Sunday,
P099,False,False,,True,False,,False,,No receiving on PH,
P100,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P101,False,False,,False,False,,False,,,
P102,False,False,,False,False,,False,,,
P103,False,False,,True,False,,False,,No receiving on PH,
P104,False,False,,False,False,,False,,,
P105,False,False,,False,False,,False,,,
P106,False,False,,False,False,,False,,,
P107,False,False,,False,False,,False,,,
P108,False,False,,False,False,,False,,,
P109,False,False,,False,False,,False,,,
P110,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
P111,False,False,,False,False,,False,,,
P112,False,False,,False,False,,False,,"Wed & Sat have Pasar Malam (road will packed and it only one way to exit PAB), No receiving on PH",
P113,False,False,,False,False,,False,,,
P114,False,False,,False,False,,False,,,
P115,True,False,,False,True,"No unloading at store: Monday - 8:00am to 1:00pm, Thursday - 4:30pm to 9:00pm",False,,Monday have Pasar Pagi from 8:00AM-1:00PM & Thursday have Pasar Malam from 4:30PM - 9:00PM ( Road surounding Store tottaly closed),
P116,False,False,,False,False,,False,,,
P117,False,False,,False,False,,False,,,
P118,False,False,,True,False,,False,,No receiving on PH,
P119,False,False,,False,False,,False,,,
P120,False,False,,False,False,,False,,,
P121,False,False,,True,False,,False,,No receiving on PH,
P122,False,False,,False,False,,False,,,
P123,False,False,,False,False,,False,,,
P124,True,True,"Saturday,Sunday",True,False,,False,,No delivery on weekend & PH,
P125,False,False,,False,False,,False,,,
P126,False,False,,False,False,,False,,,
P127,False,False,,False,False,,False,,,
P128,False,False,,True,False,,False,,No receiving in PH,
P129,False,False,,True,False,,False,,No receiving on PH,
P130,False,False,,False,False,,False,,,
P131,False,False,,False,False,,False,,,
P132,False,False,,False,False,,False,,,
P133,False,False,,True,False,,False,,No receiving in PH,
P134,False,False,,False,False,,False,,,
P135,False,False,,False,False,,False,,,
P136,False,False,,False,False,,False,,,
P137,False,False,,False,False,,False,,,
P138,False,False,,False,False,,False,,,
P139,False,False,,False,False,,False,,,
P140,False,False,,False,False,,False,,,
P141,False,False,,False,False,,False,,,
P142,False,False,,False,False,,False,,,
P143,False,False,,False,False,,False,,,
P144,False,False,,False,False,,False,,,
P145,False,False,,False,False,,False,,,
P146,False,False,,False,False,,False,,,
P147,False,False,,False,False,,False,,,
P148,False,False,,False,False,,False,,,
P149,False,False,,False,False,,False,,,
P150,False,False,,False,False,,False,,,
P151,False,False,,False,False,,False,,,
P152,False,False,,False,False,,False,,,
P153,False,False,,False,False,,False,,,
P154,False,False,,False,False,,False,,,
P155,False,False,,False,False,,False,,,
P156,False,False,,False,False,,False,,,
P157,False,False,,False,False,,False,,,
P158,False,False,,False,False,,False,,,
P159,False,False,,False,False,,False,,,
P160,False,False,,False,False,,False,,,
P161,False,False,,False,False,,False,,,
P162,False,False,,False,False,,False,,,
P163,False,False,,False,False,,False,,,
P164,False,False,,False,False,,False,,,
P165,False,False,,False,False,,False,,,
P166,False,False,,False,False,,False,,,
P167,False,False,,False,False,,False,,,
P168,False,False,,False,False,,False,,,
P169,False,False,,False,False,,False,,,
P170,False,False,,False,False,,False,,,
P171,False,False,,False,False,,False,,,
P172,False,False,,False,False,,False,,,
P173,False,False,,False,False,,False,,,
P176,False,False,,False,False,,False,,,
PD01,False,False,,False,False,,False,,,
PD02,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
PD03,False,False,,False,False,,False,,,
PD04,False,False,,False,False,,False,,,
PD05,True,True,"Saturday,Sunday",False,False,,False,,No receiving on Saturday,
PD06,True,True,"Saturday,Sunday",True,False,,False,,No receiving in weekends & PH,
PD07,False,False,,True,False,,False,,No receiving on PH,
PD08,False,False,,False,False,,False,,,
PD09,False,False,,False,False,,False,,,
PD10,False,False,,False,False,,False,,,
PD11,False,False,,False,False,,False,,,
PD12,True,True,"Saturday,Sunday",False,False,,False,,No receiving on Saturday,
PD13,False,False,,False,False,,False,,,
PD14,False,False,,False,False,,False,,,
PD16,False,False,,False,False,,False,,,
PD17,False,False,,True,False,,False,,No receiving on PH,
PD18,False,False,,False,False,,False,,,
PD19,False,False,,False,False,,False,,,
PD20,False,False,,False,False,,False,,,
PD21,True,True,"Saturday,Sunday",True,False,,False,,No receiving in weekends & PH,
PD22,False,False,,False,False,,False,,,
PD23,False,False,,False,False,,False,,,
PD24,True,True,"Saturday,Sunday",True,False,,False,,No receiving on PH,
PD25,False,False,,False,False,,False,,Please arrange transportation to arrived early to avoid parking issue.,
PD26,False,False,,False,False,,False,,,
PD27,False,False,,False,False,,False,,,
PD35,True,False,,False,False,,True,5.0,Maximum 5 tons lorry allowed,
PD36,False,False,,False,False,,False,,Loading at the parking area,
PD37,False,False,,False,False,,False,,,
PD38,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
PD39,False,False,,False,False,,False,,,
PD40,False,False,,False,False,,False,,,
PD41,False,False,,False,False,,False,,,
