store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard,weekly_order_value,weekly_order_cbm,monday,monday_cbm,tuesday,tuesday_cbm,wednesday,wednesday_cbm,thursday,thursday_cbm,friday,friday_cbm,has_orders,weekly_verified,has_any_constraint,has_day_constraint,excluded_days_str,exclude_holidays,has_time_constraint,time_constraint,has_fleet_constraint,max_tonnage,delivery_remark,specific_constraint,has_coordinates,has_fulfilment_dc,data_complete
P022,5.459709,100.308772,NDC,NDC,67814.50298248889,36.85570814265701,0.0,0.0,24413.221073696004,13.268054931356524,5425.160238599112,2.948456651412561,16275.480715797334,8.84536995423768,8137.740357898667,4.42268497711884,True,False,False,False,,False,False,,False,,,,True,True,True
P025,5.436951,100.308937,NDC,NDC,45321.84891072221,24.631439625392503,0.0,0.0,16315.865607859998,8.867318265141304,3625.747912857777,1.9705151700314003,10877.243738573332,5.911545510094202,5438.621869286666,2.955772755047101,True,False,False,False,,False,False,,False,,,,True,True,True
P026,5.128556,100.482611,NDC,NDC,34326.012955577775,18.65544182368357,6865.202591115555,3.731088364736715,4119.121554669333,2.2386530188420286,9611.283627561776,5.223523710631401,0.0,0.0,6865.202591115555,3.731088364736715,True,False,False,False,,False,False,,False,,,,True,True,True
P027,4.866178,100.731483,NDC,NDC,24265.61128456111,13.187832219870169,6794.37115967711,3.692593021563647,0.0,0.0,7764.995611059556,4.220106310358454,1941.248902764889,1.0550265775896135,2911.873354147333,1.5825398663844203,True,False,False,False,,False,False,,False,,,,True,True,True
P029,6.252694,100.428694,NDC,NDC,55840.89151954444,30.348310608448063,0.0,0.0,20102.720947036,10.925391819041302,4467.271321563555,2.427864848675845,13401.813964690664,7.283594546027535,6700.906982345332,3.641797273013768,True,False,False,False,,False,False,,False,,Wednesday suggest transportation to arrived early to avoid congestion. (Pasar Malam every Wednesday),,True,True,True
P031,4.865972,100.730167,NDC,NDC,27294.35062293333,14.83388620811594,5458.870124586666,2.966777241623188,3275.3220747519995,1.7800663449739127,7642.418174421332,4.153488138272463,0.0,0.0,5458.870124586666,2.966777241623188,True,False,False,False,,False,False,,False,,,,True,True,True
P032,5.276806,100.490306,NDC,NDC,42558.10962332222,23.129407403979467,11916.270694530222,6.4762340731142505,0.0,0.0,13618.595079463114,7.401410369273432,3404.6487698657784,1.850352592318358,5106.973154798667,2.7755288884775364,True,False,False,False,,False,False,,False,,,,True,True,True
P033,5.636694,100.488667,NDC,NDC,20043.488150038884,10.893200081542872,5612.176682010888,3.050096022832004,0.0,0.0,6413.916208012443,3.485824026093719,1603.4790520031108,0.8714560065234298,2405.218578004666,1.3071840097851446,True,False,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,,True,True,True
P034,6.435306,100.43025,NDC,NDC,82464.80990879443,44.81783147217089,0.0,0.0,29687.331567165995,16.13441932998152,6597.184792703555,3.585426517773671,19791.554378110664,10.756279553321011,9895.777189055332,5.378139776660507,True,False,False,False,,False,False,,False,,,,True,True,True
P037,5.51692,100.442829,NDC,NDC,23322.123926111115,12.675067351147344,6530.194699311112,3.5490188583212565,0.0,0.0,7463.079656355558,4.056021552367151,1865.7699140888892,1.0140053880917876,2798.654871133334,1.5210080821376817,True,False,False,False,,False,False,,False,,,,True,True,True
P040,5.38553,100.546773,NDC,NDC,33417.20884218888,18.16152654466787,0.0,0.0,12030.195183187996,6.538149556080433,2673.3767073751105,1.4529221235734295,8020.130122125331,4.358766370720288,4010.065061062665,2.179383185360144,True,False,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,,True,True,True
P041,5.351472,100.237056,NDC,NDC,42206.786358100006,22.93847084679348,11817.900180268,6.422771837102174,0.0,0.0,13506.171634592003,7.340310670973914,3376.542908648001,1.8350776677434784,5064.814362972001,2.752616501615218,True,False,False,False,,False,False,,False,,Mall not allow,,True,True,True
P042,5.3243507,100.2818219,NDC,NDC,72699.11284797775,39.510387417379214,14539.822569595552,7.902077483475844,8723.89354175733,4.741246490085506,20355.751597433773,11.06290847686618,0.0,0.0,14539.822569595552,7.902077483475844,True,False,False,False,,False,False,,False,,Mall not allow,,True,True,True
P043,5.435704,100.311083,NDC,NDC,28204.59835526667,15.328586062644929,0.0,0.0,10153.655407896002,5.518290982552175,2256.3678684213337,1.2262868850115944,6769.103605264001,3.678860655034783,3384.5518026320005,1.839430327517392,True,False,False,False,,False,False,,False,,Mall not allow,,True,True,True
P044,5.17848,100.48069,NDC,NDC,47182.70932071668,25.642776804737323,13211.15860980067,7.179977505326451,0.0,0.0,15098.466982629338,8.205688577515945,3774.6167456573344,2.051422144378986,5661.925118486001,3.077133216568479,True,False,True,True,"Saturday,Sunday",True,False,,False,,"1 hour before the lorry arrives must to inform store cause store need fill in form permit for loading stock, weekend & PH not allowed receive stock",,True,True,True
P045,5.387892,100.312999,NDC,NDC,30082.450680100003,16.34915797831522,6016.490136020001,3.269831595663044,3609.8940816120007,1.9618989573978265,8423.086190428001,4.577764233928261,0.0,0.0,6016.490136020001,3.269831595663044,True,False,False,False,,False,False,,False,,Mall not allow,,True,True,True
P046,5.413272,100.332173,NDC,NDC,48489.21725678333,26.352835465643118,13576.980831899336,7.378793930380073,0.0,0.0,15516.549522170666,8.432907349005797,3879.1373805426665,2.108226837251449,5818.706070814001,3.1623402558771745,True,False,False,False,,False,False,,False,,,,True,True,True
P049,5.388944,100.409083,NDC,NDC,18860.885108216666,10.250481037074277,0.0,0.0,6789.918638958001,3.69017317334674,1508.870808657333,0.8200384829659421,4526.612425972,2.460115448897826,2263.306212986,1.230057724448913,True,False,True,True,"Saturday,Sunday",True,False,,False,,No receiving on weekends & PH,,True,True,True
P050,5.818139,100.482694,NDC,NDC,19509.525494044443,10.60300298589372,5462.667138332444,2.968840836050241,0.0,0.0,6243.048158094222,3.3929609554859903,1560.7620395235556,0.8482402388714976,2341.143059285333,1.2723603583072465,True,False,False,False,,True,False,,False,,No receiving on PH,,True,True,True
P051,5.859833,100.456,NDC,NDC,29695.89431495555,16.13907299725845,8314.850408187554,4.518940439232367,0.0,0.0,9502.686180785777,5.164503359122705,2375.671545196444,1.2911258397806762,3563.507317794666,1.936688759671014,True,False,False,False,,False,False,,False,,,,True,True,True
P052,5.439583,100.381611,NDC,NDC,30574.779125800003,16.616727785760872,8560.938155224001,4.652683780013044,0.0,0.0,9783.929320256002,5.31735289144348,2445.9823300640005,1.32933822286087,3668.973495096001,1.9940073342913047,True,False,True,True,"Saturday,Sunday",True,False,,False,,No receiving on weekends & PH,,True,True,True
P054,5.446948,100.43112,NDC,NDC,21196.11950314444,11.519630164752412,0.0,0.0,7630.603021131998,4.147066859310868,1695.6895602515551,0.921570413180193,5087.068680754665,2.764711239540579,2543.5343403773327,1.3823556197702895,True,False,False,False,,False,False,,False,,,,True,True,True
