store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard
C047,6.124684,102.267727,EDC,EDC
C048,5.77837,102.147949,EDC,EDC
C049,5.308645,103.157639,EDC,EDC
C050,5.298169,103.137716,EDC,EDC
C051,5.922657,102.244815,EDC,EDC
C052,5.333487,103.149585,EDC,EDC
C053,6.138031,102.240853,EDC,EDC
C054,5.960987,102.251121,EDC,EDC
C055,5.742818,101.861638,EDC,EDC
C056,6.07237,102.361354,EDC,EDC
C057,5.964028,102.294624,EDC,EDC
C058,4.424005,103.451984,EDC,EDC
C059,5.308454,103.076889,EDC,EDC
C060,5.64791,102.64145,EDC,EDC
C061,6.06103,102.401529,EDC,EDC
C062,6.109541043,102.2528325,EDC,EDC
C063,6.069532,102.23821,EDC,EDC
C064,5.8303622,102.4027353,EDC,EDC
C065,6.006718,102.098096,EDC,EDC
C066,5.83818,101.905417,EDC,EDC
C067,5.393821,103.0822636,EDC,EDC
C068,5.689801,101.847607,EDC,EDC
C069,5.899467,102.315104,EDC,EDC
C070,4.76334,103.41895,EDC,EDC
C071,5.78392,102.55476,EDC,EDC
C072,6.010504,102.382887,EDC,EDC
C073,4.233408,103.369844,EDC,EDC
C074,4.2173601,103.4224131,EDC,EDC
C075,5.999215,102.244577,EDC,EDC
C076,4.191936,103.433437,EDC,EDC
C077,5.530166,102.200743,EDC,EDC
C078,5.297563,103.118056,EDC,EDC
C079,6.144407,102.266615,EDC,EDC
C080,5.4935633,102.223249,EDC,EDC
C081,5.465277,103.023943,EDC,EDC
C082,5.09631,103.0895,EDC,EDC
C083,6.113937,102.214605,EDC,EDC
C084,5.178878,103.226674,EDC,EDC
C085,4.71344,103.416885,EDC,EDC
C086,5.35651,103.095713,EDC,EDC
C087,5.811818,102.131252,EDC,EDC
C088,4.268976,103.435832,EDC,EDC
C089,5.757462,102.567916,EDC,EDC
C090,5.8410632,102.5319524,EDC,EDC
C091,5.274601,103.10461,EDC,EDC
C092,6.087958,102.238875,EDC,EDC
C093,5.205436,103.102441,EDC,EDC
C094,4.889812,101.977677,EDC,EDC
C095,5.889562,102.482438,EDC,EDC
C096,4.696482,103.391441,EDC,EDC
C097,6.102828,102.298829,EDC,EDC
C098,4.2276,103.399553,EDC,EDC
C099,6.06848,102.20611,EDC,EDC
C100,5.3370682,103.1447639,EDC,EDC
C101,5.777698,102.592241,EDC,EDC
C102,6.162147,102.150108,EDC,EDC
C103,6.220892,102.103254,EDC,EDC
DD03,5.83781,101.9055,EDC,EDC
EC01,3.5000569,102.1888496,EDC,EDC
EC03,2.806695,103.459079,EDC,EDC
EC04,3.284742366,102.4560617,EDC,EDC
EC05,4.017981,101.971777,EDC,EDC
EC06,3.472856,102.501201,EDC,EDC
EC07,3.576158,102.369766,EDC,EDC
ED01,6.119077,102.197928,EDC,EDC
ET01,5.641794,102.501687,EDC,EDC
ET02,5.5940509613,102.825991334,EDC,EDC
ET03,4.785379,103.396967,EDC,EDC
PD38,6.193224,102.167942,EDC,EDC
T016,6.1147536,102.2320264,EDC,EDC
TC01,3.8185112,103.3259976,EDC,EDC
TC02,3.484159776624,102.350178454032,EDC,EDC
TC03,3.80759071474834,101.854103925196,EDC,EDC
TD01,5.776819,102.147309,EDC,EDC
ZH31,3.538115,101.902198,EDC,EDC
ZH71,3.476989,102.327796,EDC,EDC
ZH74,3.807281,101.8541547,EDC,EDC
ZH79,3.7688878,103.2475453,EDC,EDC
