vehicle_id,plate_no,owning_dc,purpose,capacity_ton,cbm,length_m,width_m,height_m,vehicle_type,cbm_verified
QTX9959,QTX9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
MDQ9959,MDQ9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
SMR9959,SMR9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
JXU9959,JXU9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
TCM9959,TCM9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
SD9959U,SD9959U,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
PQM9959,PQM9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
VHB9959,VHB9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
AMS9959,AMS9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
BSC9959,BSC9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
DEH9959,DEH9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
RAL9959,RAL9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
SME9959,SME9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
BQL9959,BQL9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,PENGGERAK UTAMA,True
BQR9959,BQR9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,SEMI TRAILER -CURTANSIDER,True
CEP9959,CEP9959,HQ,INTER_DC,39 TAN,81.55325763,12.195,2.438,2.743,SEMI TRAILER -CURTANSIDER,True
WWG1736,WWG1736,HQ,INTER_WAREHOUSE,3 TAN,6.68865,5.1000000000000005,2.15,0.61,LORI RIGID -KARGO AM,True
WVG9695,WVG9695,HQ,INTER_WAREHOUSE,5 TAN,7.886385000000001,5.8500000000000005,2.21,0.61,LORI RIGID -KARGO AM,True
VBU8716,VBU8716,HQ,INTER_WAREHOUSE,5 TAN,9.06338,6.46,2.3000000000000003,0.61,LORI RIGID -LUTON/KOTAK,True
VGK9930,VGK9930,HQ,INTER_WAREHOUSE,5 TAN,11.102916,6.2700000000000005,2.33,0.76,LORI RIGID -KARGO AM,True
VGK9918,VGK9918,HQ,INTER_WAREHOUSE,5 TAN,11.132134200000001,6.2700000000000005,2.33,0.762,LORI RIGID -KARGO AM,True
VES9910,VES9910,HQ,INTER_WAREHOUSE,5 TAN,11.251692000000002,6.42,2.3000000000000003,0.762,LORI RIGID -KARGO AM,True
VEU9912,VEU9912,HQ,INTER_WAREHOUSE,5 TAN,11.353419,6.45,2.31,0.762,LORI RIGID -KARGO AM,True
VDY9663,VDY9663,HQ,INTER_WAREHOUSE,3 TAN,11.3848896,6.44,2.32,0.762,LORI RIGID -KARGO AM,True
VAN3721,VAN3721,HQ,INTER_WAREHOUSE,5 TAN,32.635904000000004,6.28,2.24,2.32,LORI RIGID -LUTON/KOTAK,True
VHG9973,VHG9973,HQ,INTER_WAREHOUSE,11 TAN,32.766360000000006,6.18,2.41,2.2,LORI RIGID -CURTANSIDER,True
VAM9602,VAM9602,HQ,INTER_WAREHOUSE,5 TAN,34.17777000000001,6.2700000000000005,2.3000000000000003,2.37,LORI RIGID -LUTON/KOTAK,True
